# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 32
# t_0 = 1000 t_meas = 1000 dt = 1 
# beta energy_density abs_magnetization_density specific_heat susceptibility binder_parameter
1.3 -1.999774e+00 +9.999434e-01 +3.149187e-03 +1.531512e-04 +6.666665e-01
1.3125 -1.999768e+00 +9.999418e-01 +3.291125e-03 +1.584842e-04 +6.666665e-01
1.325 -1.999833e+00 +9.999578e-01 +2.330816e-03 +1.135227e-04 +6.666666e-01
1.3375 -1.999825e+00 +9.999562e-01 +2.448369e-03 +1.144098e-04 +6.666666e-01
1.35 -1.999853e+00 +9.999629e-01 +2.180913e-03 +1.046197e-04 +6.666666e-01
1.3625 -1.999836e+00 +9.999586e-01 +2.466584e-03 +1.168267e-04 +6.666666e-01
1.375 -1.999853e+00 +9.999633e-01 +2.179720e-03 +9.907820e-05 +6.666666e-01
1.3875 -1.999890e+00 +9.999723e-01 +1.738800e-03 +8.020596e-05 +6.666666e-01
1.4000000000000001 -1.999888e+00 +9.999719e-01 +1.738598e-03 +7.761600e-05 +6.666666e-01
1.4125 -1.999902e+00 +9.999754e-01 +1.551389e-03 +6.864551e-05 +6.666666e-01
1.425 -1.999914e+00 +9.999785e-01 +1.380698e-03 +6.055693e-05 +6.666666e-01
1.4375 -1.999886e+00 +9.999715e-01 +1.858066e-03 +8.078548e-05 +6.666666e-01
1.45 -1.999953e+00 +9.999883e-01 +7.837069e-04 +3.378047e-05 +6.666666e-01
1.4625000000000001 -1.999942e+00 +9.999855e-01 +9.819237e-04 +4.196255e-05 +6.666666e-01
1.475 -1.999945e+00 +9.999863e-01 +9.451731e-04 +4.004971e-05 +6.666666e-01
1.4875 -1.999946e+00 +9.999863e-01 +9.683676e-04 +4.271333e-05 +6.666666e-01
1.5 -1.999967e+00 +9.999918e-01 +5.881444e-04 +2.450602e-05 +6.666666e-01
1.5125 -1.999967e+00 +9.999918e-01 +5.979876e-04 +2.471023e-05 +6.666666e-01
1.5250000000000001 -1.999959e+00 +9.999898e-01 +7.518978e-04 +3.081548e-05 +6.666666e-01
1.5375 -1.999963e+00 +9.999906e-01 +7.057678e-04 +2.868975e-05 +6.666666e-01
1.55 -1.999963e+00 +9.999906e-01 +7.249409e-04 +3.134487e-05 +6.666666e-01
1.5625 -1.999978e+00 +9.999945e-01 +4.260498e-04 +1.704199e-05 +6.666667e-01
1.575 -1.999958e+00 +9.999895e-01 +8.326900e-04 +3.304325e-05 +6.666666e-01
1.5875000000000001 -1.999975e+00 +9.999938e-01 +5.024183e-04 +1.978025e-05 +6.666667e-01
1.6 -1.999980e+00 +9.999949e-01 +4.149184e-04 +1.620775e-05 +6.666667e-01
1.6125 -1.999977e+00 +9.999941e-01 +4.860667e-04 +1.883979e-05 +6.666667e-01
1.625 -1.999984e+00 +9.999961e-01 +3.294180e-04 +1.266992e-05 +6.666667e-01
1.6375 -1.999986e+00 +9.999965e-01 +3.011152e-04 +1.149295e-05 +6.666667e-01
1.6500000000000001 -1.999986e+00 +9.999965e-01 +3.057299e-04 +1.158068e-05 +6.666667e-01
1.6625 -1.999989e+00 +9.999973e-01 +2.415032e-04 +9.079068e-06 +6.666667e-01
1.675 -1.999984e+00 +9.999961e-01 +3.500017e-04 +1.305977e-05 +6.666667e-01
1.6875 -1.999992e+00 +9.999980e-01 +1.778005e-04 +6.585205e-06 +6.666667e-01
1.7 -1.999997e+00 +9.999992e-01 +7.222110e-05 +2.655188e-06 +6.666667e-01
1.7125000000000001 -1.999991e+00 +9.999977e-01 +2.196853e-04 +8.017711e-06 +6.666667e-01
1.725 -1.999989e+00 +9.999973e-01 +2.600027e-04 +9.420387e-06 +6.666667e-01
1.7375 -1.999998e+00 +9.999996e-01 +3.772878e-05 +1.357151e-06 +6.666667e-01
1.75 -1.999997e+00 +9.999992e-01 +7.653188e-05 +2.733281e-06 +6.666667e-01
1.7625 -1.999991e+00 +9.999977e-01 +2.327009e-04 +8.251804e-06 +6.666667e-01
1.7750000000000001 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.7875 -1.999998e+00 +9.999996e-01 +3.993147e-05 +1.396205e-06 +6.666667e-01
1.8 -1.999998e+00 +9.999996e-01 +4.049190e-05 +1.405969e-06 +6.666667e-01
1.8125 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.825 -1.999998e+00 +9.999996e-01 +4.162449e-05 +1.425496e-06 +6.666667e-01
1.8375000000000001 -1.999992e+00 +9.999980e-01 +2.108144e-04 +7.170557e-06 +6.666667e-01
1.85 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.8625 -1.999998e+00 +9.999996e-01 +4.335266e-05 +1.454787e-06 +6.666667e-01
1.875 -1.999994e+00 +9.999984e-01 +1.756406e-04 +5.854688e-06 +6.666667e-01
1.8875 -1.999995e+00 +9.999988e-01 +1.335194e-04 +4.421174e-06 +6.666667e-01
1.9000000000000001 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.9125 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.925 -1.999995e+00 +9.999988e-01 +1.388776e-04 +4.509012e-06 +6.666667e-01
1.9375 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.95 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.9625000000000001 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.975 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
1.9875 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.0 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.0125 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.0250000000000004 -1.999997e+00 +9.999992e-01 +1.024746e-04 +3.162797e-06 +6.666667e-01
2.0375 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.0500000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.0625 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.075 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.0875000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.1 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.1125000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.125 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.1375 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.1500000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.1625 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.1750000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.1875 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.2 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.2125000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.225 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.2375000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.2500000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.2625 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.2750000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.2875 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.3000000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.3125000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.325 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
