# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 128, Beta = 1.00
# t ener_rand mag_rand ener_ferr mag_ferr
223 -1.904541015625e+00 +2.478027343750e-01 -1.998046875000e+00 +9.995117187500e-01
224 -1.905029296875e+00 +2.471923828125e-01 -1.998046875000e+00 +9.995117187500e-01
225 -1.906005859375e+00 +2.469482421875e-01 -1.997070312500e+00 +9.992675781250e-01
226 -1.909912109375e+00 +2.484130859375e-01 -1.996582031250e+00 +9.991455078125e-01
227 -1.912597656250e+00 +2.482910156250e-01 -1.996582031250e+00 +9.991455078125e-01
228 -1.910888671875e+00 +2.479248046875e-01 -1.997314453125e+00 +9.992675781250e-01
229 -1.905273437500e+00 +2.462158203125e-01 -1.997314453125e+00 +9.992675781250e-01
230 -1.908935546875e+00 +2.486572265625e-01 -1.997070312500e+00 +9.992675781250e-01
231 -1.909912109375e+00 +2.482910156250e-01 -1.997558593750e+00 +9.993896484375e-01
232 -1.907226562500e+00 +2.485351562500e-01 -1.996582031250e+00 +9.991455078125e-01
233 -1.909179687500e+00 +2.445068359375e-01 -1.997558593750e+00 +9.993896484375e-01
234 -1.911621093750e+00 +2.468261718750e-01 -1.997558593750e+00 +9.993896484375e-01
235 -1.912353515625e+00 +2.485351562500e-01 -1.995605468750e+00 +9.989013671875e-01
236 -1.910400390625e+00 +2.462158203125e-01 -1.998046875000e+00 +9.995117187500e-01
237 -1.910644531250e+00 +2.465820312500e-01 -1.998046875000e+00 +9.995117187500e-01
238 -1.911865234375e+00 +2.484130859375e-01 -1.994628906250e+00 +9.986572265625e-01
239 -1.915283203125e+00 +2.515869140625e-01 -1.994628906250e+00 +9.986572265625e-01
240 -1.915771484375e+00 +2.517089843750e-01 -1.993652343750e+00 +9.984130859375e-01
241 -1.912841796875e+00 +2.491455078125e-01 -1.997558593750e+00 +9.992675781250e-01
242 -1.912353515625e+00 +2.497558593750e-01 -1.997070312500e+00 +9.991455078125e-01
243 -1.911376953125e+00 +2.492675781250e-01 -1.995605468750e+00 +9.989013671875e-01
244 -1.913574218750e+00 +2.481689453125e-01 -1.995849609375e+00 +9.989013671875e-01
245 -1.914062500000e+00 +2.447509765625e-01 -1.996826171875e+00 +9.991455078125e-01
246 -1.912841796875e+00 +2.451171875000e-01 -1.997070312500e+00 +9.992675781250e-01
247 -1.913330078125e+00 +2.453613281250e-01 -1.998046875000e+00 +9.995117187500e-01
248 -1.913085937500e+00 +2.449951171875e-01 -1.996582031250e+00 +9.991455078125e-01
249 -1.913574218750e+00 +2.448730468750e-01 -1.997558593750e+00 +9.993896484375e-01
250 -1.911865234375e+00 +2.413330078125e-01 -1.995849609375e+00 +9.989013671875e-01
251 -1.912353515625e+00 +2.412109375000e-01 -1.997070312500e+00 +9.992675781250e-01
252 -1.912597656250e+00 +2.436523437500e-01 -1.997558593750e+00 +9.993896484375e-01
253 -1.914062500000e+00 +2.441406250000e-01 -1.996582031250e+00 +9.991455078125e-01
254 -1.914062500000e+00 +2.447509765625e-01 -1.998046875000e+00 +9.995117187500e-01
255 -1.913574218750e+00 +2.452392578125e-01 -1.999023437500e+00 +9.997558593750e-01
256 -1.913818359375e+00 +2.424316406250e-01 -1.996826171875e+00 +9.991455078125e-01
257 -1.916503906250e+00 +2.416992187500e-01 -1.998046875000e+00 +9.995117187500e-01
258 -1.916748046875e+00 +2.415771484375e-01 -1.996582031250e+00 +9.991455078125e-01
259 -1.915771484375e+00 +2.420654296875e-01 -1.997070312500e+00 +9.992675781250e-01
260 -1.916503906250e+00 +2.415771484375e-01 -1.997070312500e+00 +9.992675781250e-01
261 -1.917724609375e+00 +2.419433593750e-01 -1.997558593750e+00 +9.993896484375e-01
262 -1.915771484375e+00 +2.418212890625e-01 -1.999023437500e+00 +9.997558593750e-01
263 -1.917480468750e+00 +2.423095703125e-01 -1.996582031250e+00 +9.990234375000e-01
264 -1.918457031250e+00 +2.423095703125e-01 -1.998046875000e+00 +9.995117187500e-01
265 -1.917724609375e+00 +2.427978515625e-01 -1.997558593750e+00 +9.993896484375e-01
266 -1.917968750000e+00 +2.427978515625e-01 -1.997558593750e+00 +9.993896484375e-01
267 -1.917480468750e+00 +2.424316406250e-01 -1.997070312500e+00 +9.992675781250e-01
268 -1.917968750000e+00 +2.425537109375e-01 -1.997070312500e+00 +9.992675781250e-01
269 -1.916015625000e+00 +2.413330078125e-01 -1.996826171875e+00 +9.991455078125e-01
270 -1.915771484375e+00 +2.447509765625e-01 -1.995605468750e+00 +9.989013671875e-01
271 -1.914306640625e+00 +2.441406250000e-01 -1.999023437500e+00 +9.997558593750e-01
272 -1.914794921875e+00 +2.446289062500e-01 -1.999511718750e+00 +9.998779296875e-01
273 -1.916503906250e+00 +2.473144531250e-01 -1.998046875000e+00 +9.995117187500e-01
274 -1.915527343750e+00 +2.452392578125e-01 -1.997070312500e+00 +9.992675781250e-01
275 -1.915039062500e+00 +2.451171875000e-01 -1.996582031250e+00 +9.991455078125e-01
276 -1.916259765625e+00 +2.447509765625e-01 -1.997558593750e+00 +9.993896484375e-01
277 -1.914062500000e+00 +2.437744140625e-01 -1.997070312500e+00 +9.992675781250e-01
278 -1.913330078125e+00 +2.410888671875e-01 -1.998535156250e+00 +9.996337890625e-01
279 -1.915039062500e+00 +2.419433593750e-01 -1.997558593750e+00 +9.993896484375e-01
280 -1.919433593750e+00 +2.432861328125e-01 -1.998535156250e+00 +9.996337890625e-01
281 -1.918701171875e+00 +2.427978515625e-01 -1.999023437500e+00 +9.997558593750e-01
282 -1.920654296875e+00 +2.423095703125e-01 -1.999023437500e+00 +9.997558593750e-01
283 -1.916992187500e+00 +2.440185546875e-01 -1.998535156250e+00 +9.996337890625e-01
284 -1.919677734375e+00 +2.480468750000e-01 -1.996093750000e+00 +9.990234375000e-01
285 -1.920410156250e+00 +2.480468750000e-01 -1.995605468750e+00 +9.989013671875e-01
286 -1.920410156250e+00 +2.479248046875e-01 -1.995605468750e+00 +9.989013671875e-01
287 -1.917724609375e+00 +2.459716796875e-01 -1.997558593750e+00 +9.993896484375e-01
288 -1.919677734375e+00 +2.464599609375e-01 -1.997070312500e+00 +9.992675781250e-01
289 -1.918945312500e+00 +2.491455078125e-01 -1.996093750000e+00 +9.990234375000e-01
290 -1.919433593750e+00 +2.463378906250e-01 -1.997070312500e+00 +9.992675781250e-01
291 -1.920410156250e+00 +2.467041015625e-01 -1.997558593750e+00 +9.993896484375e-01
292 -1.918701171875e+00 +2.465820312500e-01 -1.997070312500e+00 +9.992675781250e-01
293 -1.919677734375e+00 +2.471923828125e-01 -1.997558593750e+00 +9.993896484375e-01
294 -1.920410156250e+00 +2.467041015625e-01 -1.996582031250e+00 +9.991455078125e-01
295 -1.921386718750e+00 +2.475585937500e-01 -1.995605468750e+00 +9.989013671875e-01
296 -1.920410156250e+00 +2.467041015625e-01 -1.997070312500e+00 +9.992675781250e-01
297 -1.920654296875e+00 +2.474365234375e-01 -1.998046875000e+00 +9.995117187500e-01
298 -1.919677734375e+00 +2.430419921875e-01 -1.996093750000e+00 +9.990234375000e-01
